idx,smiles,metal_type,logK1_true,logK1_pred,uncertainty,cv,agreement_ratio,mean_attr,is_agreed,criterion_used,scenario,n_nodes
10,Brc1ccc2n(->[Ni+2]<-N2)c1,Ni,0.17,0.8239266276359558,0.4325569818809703,0.5249945412276341,0.8888888888888888,-0.7860769033432007,True,both,C,9
11,Brc1ccc2n(->[Sr+2]<-N2)c1,Sr,-0.24,-0.021696794033050536,0.20875512459610054,9.621473305139261,0.6666666666666666,-0.4726071026590135,True,mean,C,9
12,Brc1ccc2n(->[Zn+2]<-N2)c1,Zn,0.07,0.4943609595298767,0.4069016148601813,0.8230860609363919,0.8888888888888888,-0.8232265909512838,True,both,C,9
13,Brc1cccn(->[Ag])c1,Ag,1.66,1.6326347827911376,0.10919238062176258,0.06688108190068588,0.5,-0.1295374184846878,True,mean,A,8
14,Brc1cccn(->[Cd+2])c1,Cd,0.64,1.0812945246696473,0.08523578125896256,0.0788275343251215,0.5,-0.000763528048992157,True,mean,A,8
15,Brc1ccn(->[Ba+2])cc1,Ba,-0.06,-0.13095242977142335,0.05958040604747316,0.454977476565119,0.875,-0.6901159882545471,True,both,C,8
16,Brc1ccn(->[Cd+2])cc1,Cd,1.14,1.2519597291946412,0.11523446399887737,0.0920432672966288,0.125,0.113612100481987,False,none,B,8
17,Brc1ccn(->[Sr+2])cc1,Sr,-0.06,-0.004048120975494385,0.10198483554534098,25.193129395765126,0.875,-0.911113329231739,True,both,C,8
18,C#CC(O)=O->[La+3],La,1.31,1.4420742988586426,0.22997805278710415,0.15947725645559643,0.5,0.0399282972017924,False,none,D,6
19,C#N->[Cd+2],Cd,5.55,5.531378078460693,0.13768343413223466,0.02489134392537313,0.6666666666666666,0.8515817721684774,False,none,B,3
20,C#N->[Hg+2],Hg,17.0,16.30386905670166,1.1167065868528279,0.06849334860143572,1.0,3.7866767247517905,True,both,A,3
21,C#N->[Mn+2],Mn,1.9,2.1550204515457154,0.412294263375916,0.19131802813295473,0.6666666666666666,-0.8026030858357748,True,mean,C,3
22,C#N->[Zn+2],Zn,5.085,4.991712474822998,0.15698081689424043,0.03144828907634686,0.6666666666666666,0.48167184988657635,False,none,B,3
23,C(CCCCN12->[Cu+2]<-N(CCNCC1)CC2)CCCN1CCNCCNCC1,Cu,21.7,21.371497344970702,0.4025615245246286,0.018836374355368335,0.4444444444444444,0.6163436748363353,True,mean,A,27
24,C(CCCCN12->[Zn+2]<-N(CCNCC1)CC2)CCCN1CCNCCNCC1,Zn,14.84,15.652938270568848,0.4989182693312075,0.03187377735139284,0.4444444444444444,0.4674496120876736,True,mean,A,27
25,C(CCCN12->[Zn+2]<-N(CCNCC1)CC2)CCN1CCNCCNCC1,Zn,15.2,16.457097244262695,0.33086482008315554,0.02010468888725211,0.44,0.5444216918945313,True,mean,A,25
26,C(CCCN1CCNCCNCC1)CCCN12->[Cu+2]<-N(CCNCC1)CC2,Cu,21.2,21.76052474975586,0.5024070920469412,0.023088004440360656,0.5,0.655276005084698,True,mean,A,26
27,C(CCCN1CCNCCNCC1)CCCN12->[Zn+2]<-N(CCNCC1)CC2,Zn,15.2,16.028245735168458,0.4171980471448877,0.026028927559395378,0.4230769230769231,0.5036005607018104,True,mean,A,26
28,C(CCN12->[Cu+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,Cu,23.02,23.11454086303711,0.9260745727151292,0.04006458870208546,0.5652173913043478,0.7827343318773352,True,mean,A,23
29,C(CCN12->[Ni+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,Ni,20.8,21.925780487060546,0.4694185915394901,0.02140943588377693,0.5217391304347826,1.483192609704059,True,mean,A,23
30,C(CCN12->[Zn+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,Zn,17.76,17.500080108642578,0.4301103699470182,0.024577622918114765,0.4782608695652174,0.6377711088761039,True,mean,A,23
31,C(CCN1CCNCCNCC1)CCN12->[Cd+2]<-N(CCNCC1)CC2,Cd,18.2,17.508129119873047,1.5259910461307924,0.0871590011521378,0.6666666666666666,1.5795336564381917,True,mean,A,24
32,C(CCN1CCNCCNCC1)CCN12->[Co+2]<-N(CCNCC1)CC2,Co,16.9,16.0141809463501,1.16953099843525,0.07303095939488594,0.5416666666666666,0.6099127133687338,True,mean,A,24
33,C(CCN1CCNCCNCC1)CCN12->[Cu+2]<-N(CCNCC1)CC2,Cu,21.35,22.629208755493163,0.7637360035692199,0.03375000919481224,0.5416666666666666,0.7336918512980143,True,mean,A,24
34,C(CCN1CCNCCNCC1)CCN12->[Pb+2]<-N(CCNCC1)CC2,Pb,18.3,16.915724182128905,1.5175729934568687,0.08971374663699894,0.5833333333333334,0.9559822877248129,True,mean,A,24
35,C(CCN1CCNCCNCC1)CCN12->[Zn+2]<-N(CCNCC1)CC2,Zn,16.505,16.91087532043457,0.326620503619697,0.019314228118341045,0.4583333333333333,0.5917787551879883,True,mean,A,24
36,C(CN1->[Cd+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Cd,10.7,10.677712059020996,0.32453002113723434,0.030393217137097948,0.47368421052631576,0.037152842471474094,True,mean,A,19
37,C(CN1->[Cd+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,Cd,6.66,6.1399312019348145,0.3072805581862989,0.050046254278788775,0.6875,-0.15611717104911804,True,mean,A,16
38,C(CN1->[Co+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Co,14.39,15.093896865844727,2.3545157178107754,0.1559912419395616,0.5263157894736842,0.16001319885253906,True,mean,C,19
39,C(CN1->[Co+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,Co,5.8,6.6102495193481445,1.3257479547848654,0.2005594419551656,0.5,-0.07431989908218384,True,mean,C,16
40,C(CN1->[Cu+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Cu,17.3,17.81404037475586,0.5832698373449802,0.032742141876557516,0.7894736842105263,0.05714004918148643,True,both,A,19
41,C(CN1->[Cu+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,Cu,9.55,9.050839233398438,0.38170485477370797,0.042173421152502805,0.375,-0.20766323804855347,False,none,B,16
42,C(CN1->[Hg+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Hg,12.5,13.605938148498534,1.3472089204997402,0.09901624612694639,0.5789473684210527,0.04857484917891653,True,mean,A,19
43,C(CN1->[Ni+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Ni,15.25,14.702318572998047,0.8034262262267033,0.054646226187906044,0.5263157894736842,0.1035314861096834,True,mean,A,19
44,C(CN1->[Ni+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,Ni,6.55,6.966674327850342,0.2294060136425359,0.03292905665554803,0.4375,-0.14308759570121765,False,none,B,16
45,C(CN1->[Zn+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,Zn,11.17,13.084979438781739,1.6954504756408577,0.12957226899538105,0.42105263157894735,-0.18098710712633634,False,none,D,19
46,C(CN1->[Zn+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,Zn,7.46,6.700793743133545,0.8177098103299225,0.1220317833492261,0.5625,-0.19721433520317078,True,mean,C,16
47,C(CN1CCNCCNCC1)CN12->[Cu+2]<-N(CCNCC1)CC2,Cu,26.36,24.23685531616211,1.2772312930873138,0.052697896506218964,0.5454545454545454,0.9334702058271929,True,mean,A,22
48,C(CN1CCNCCNCC1)CN12->[Ni+2]<-N(CCNCC1)CC2,Ni,25.15,23.73587760925293,0.60198546349464,0.02536183719029494,0.5454545454545454,1.6938414140181108,True,mean,A,22
49,C(CN1CCNCCNCC1)CN12->[Zn+2]<-N(CCNCC1)CC2,Zn,18.99,18.472548294067384,0.8053260404300222,0.04359582812343544,0.5,0.7684464021162554,True,mean,A,22
50,C(Cc1nnn[nH]1)NCCN1->[Cd+2]<-N(CCc2nnn[nH]2)CC1,Cd,13.24,13.53455467224121,0.6498512125136682,0.048014229374423754,0.5909090909090909,0.26826407692649146,True,mean,A,22
51,C(Cc1nnn[nH]1)NCCN1->[Co+2]<-N(CCc2nnn[nH]2)CC1,Co,21.35,19.080613327026366,2.726117074408053,0.14287366069866828,0.6363636363636364,0.5683016343550249,True,mean,C,22
52,C(Cc1nnn[nH]1)NCCN1->[Cu+2]<-N(CCc2nnn[nH]2)CC1,Cu,22.98,21.881330490112305,0.9804707085130195,0.04480855078515782,0.7727272727272727,0.4273848967118697,True,both,A,22
53,C(Cc1nnn[nH]1)NCCN1->[Fe+2]<-N(CCc2nnn[nH]2)CC1,Fe,15.72,14.700738525390625,2.007422637072013,0.13655250269262728,0.5,0.021363605152476917,True,mean,C,22
54,C(Cc1nnn[nH]1)NCCN1->[Hg+2]<-N(CCc2nnn[nH]2)CC1,Hg,20.25,17.86113033294678,1.9170251306590915,0.10732944079820818,0.6363636363636364,0.43094444274902344,True,mean,C,22
55,C(Cc1nnn[nH]1)NCCN1->[Ni+2]<-N(CCc2nnn[nH]2)CC1,Ni,19.0,19.530772399902343,0.8307683313598045,0.04253637871300771,0.6363636363636364,0.5604934692382812,True,mean,A,22
56,C(Cc1nnn[nH]1)NCCN1->[Zn+2]<-N(CCc2nnn[nH]2)CC1,Zn,17.52,16.50457057952881,1.0309890197477731,0.06246687938834013,0.45454545454545453,0.2862892150878906,True,mean,A,22
57,C(\c1ccccn1)=N1->[Cd+2]<-N/1c1ccccn1,Cd,5.43,5.51349105834961,0.3564353710110258,0.06464785509559165,0.6875,-0.063545823097229,True,mean,A,16
58,C(\c1ccccn1)=N1->[Cu+2]<-N/1c1ccccn1,Cu,11.0,12.438204383850097,3.3995107012806813,0.27331201485116646,0.375,-0.039071619510650635,False,none,D,16
59,C(\c1ccccn1)=N1->[Mn+2]<-N/1c1ccccn1,Mn,3.68,3.828868007659912,0.27671786198669146,0.07227145501832355,0.625,-0.13882724940776825,True,mean,A,16
60,C(\c1ccccn1)=N1->[Zn+2]<-N/1c1ccccn1,Zn,6.21,6.416977119445801,0.13563685239435325,0.02113718809801015,0.625,-0.18893083930015564,True,mean,A,16
61,C/C(c1ccccc1O)=N1->[Ce+3]<-O=C(O)[C@@H]/1C,Ce,7.82,7.770435905456543,0.2190218343061626,0.02818655696681848,0.4375,0.095929354429245,True,mean,A,16
62,C/C(c1ccccc1O)=N1->[Gd+3]<-O=C(O)[C@@H]/1C,Gd,9.46,10.94429702758789,1.1525812649691407,0.10531341227890342,0.5625,0.6418832540512085,True,mean,C,16
63,C/C(c1ccccc1O)=N1->[La+3]<-O=C(O)[C@@H]/1C,La,6.97,6.8963573455810545,0.14221195738253528,0.0206213150299788,0.4375,0.23519963026046753,True,mean,A,16
64,C/C(c1ccccc1O)=N1->[Nd+3]<-O=C(O)[C@@H]/1C,Nd,8.67,8.804496955871581,0.550297622781568,0.06250188120226258,0.4375,0.220302015542984,True,mean,A,16
65,C/C(c1ccccc1O)=N1->[Pr+3]<-O=C(O)[C@@H]/1C,Pr,8.31,8.342156600952148,0.3404861720811036,0.04081512591626985,0.4375,0.17747777700424194,True,mean,A,16
66,C/C(c1ccccc1O)=N1->[Sm+3]<-O=C(O)[C@@H]/1C,Sm,9.11,8.991420555114747,0.0696839796265359,0.007750052308130148,0.5,0.3123764991760254,True,mean,A,16
67,C/C=C/C(O)=O->[Ag],Ag,-1.05,0.2373051166534424,0.5403417617093936,2.276991618762702,0.8571428571428571,-0.4855845740863255,True,both,C,7
68,C/C=C/C(O)=O->[Cd+2],Cd,1.97,1.7520646572113037,0.13043895471225983,0.07444871065424873,0.5714285714285714,-0.5260222469057355,True,mean,A,7
69,C/C=C/C(O)=O->[Ce+3],Ce,3.5,3.7077536582946777,0.2804972297949566,0.07565152802626236,0.42857142857142855,-0.007157938820975167,True,mean,A,7
70,C/C=C/C(O)=O->[Eu+3],Eu,1.78,3.224914216995239,0.16531158233027346,0.05126076887846642,0.42857142857142855,-0.46264595644814627,True,mean,A,7
71,C/C=C/C(O)=O->[La+3],La,3.335,3.1326069831848145,0.2436344285310923,0.07777369770254343,0.42857142857142855,-0.20568364007132395,True,mean,A,7
72,C/C=C/C(O)=O->[Nd+3],Nd,3.83,3.734929656982422,0.1561655262108158,0.04181217333474155,0.42857142857142855,-0.02470292363848005,True,mean,A,7
73,C/C=C/C(O)=O->[PbH+2],Pb,2.0,2.2619717597961424,0.37059410399820486,0.1638367510085998,0.5714285714285714,-0.6755695853914533,True,mean,C,7
74,C/C=C/C(O)=O->[Pr+3],Pr,3.69,3.7293371200561523,0.15244436681899082,0.04087706793766488,0.42857142857142855,-0.0713599409375872,True,mean,A,7
75,C/C=C/C(O)=O->[Sm+3],Sm,3.98,3.7936541557312013,0.1998349513397386,0.05267611203774103,0.42857142857142855,0.05621562685285296,False,none,B,7
76,C1#N->[Ac+3]<-S1,Ac,0.05,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576272666454315,True,mean,C,4
77,C1#N->[Ac+3]<-[S-]1,Ac,-0.35,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
78,C1#N->[Ag]<-NC1,Ag,1.9,1.780191683769226,0.3263386315087917,0.18331656893140302,0.6,-0.19152960777282715,True,mean,C,5
79,C1#N->[Ag]<-S1,Ag,4.7,1.5140225291252136,0.7735879003616055,0.5109487378688985,0.5,-0.860780656337738,True,mean,C,4
80,C1#N->[Am+3]<-S1,Am,0.59,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576269686222076,True,mean,C,4
81,C1#N->[Am+3]<-[S-]1,Am,0.5,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
82,C1#N->[Bi+3]<-S1,Bi,1.845,1.7414165496826173,0.05816402794853518,0.03340041069388935,0.5,-0.9438965618610382,True,mean,A,4
83,C1#N->[Bi+3]<-[S-]1,Bi,1.265,1.4639515161514283,0.18177120808137986,0.12416477327011273,0.5,-0.08770245313644409,True,mean,C,4
84,C1#N->[Bk+3]<-S1,Bk,0.67,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576272666454315,True,mean,C,4
85,C1#N->[Bk+3]<-[S-]1,Bk,0.675,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
86,C1#N->[Cd+2]<-S1,Cd,1.35,1.393009901046753,0.1125005442461389,0.08076076427138265,0.5,-0.6287941038608551,True,mean,A,4
87,C1#N->[Cd+2]<-[S-]1,Cd,1.325,1.1802881598472594,0.11468044245638971,0.09716308809810517,0.75,-0.010047003626823425,True,both,A,4
88,C1#N->[Ce+3]<-S1,Ce,0.59,0.5232553124427796,0.21150058348527412,0.4042015025091651,0.75,-0.12425333261489868,True,both,C,4
89,C1#N->[Ce+3]<-[S-]1,Ce,0.145,0.23828941583633423,0.1475766778557975,0.6193169652031817,0.75,-0.14745302498340607,True,both,C,4
90,C1#N->[Cf+3]<-S1,Cf,0.53,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576272666454315,True,mean,C,4
91,C1#N->[Cf+3]<-[S-]1,Cf,0.49,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
92,C1#N->[Cm+3]<-S1,Cm,0.455,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576272666454315,True,mean,C,4
93,C1#N->[Cm+3]<-[S-]1,Cm,0.445,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
94,C1#N->[Co+2]<-S1,Co,1.19,1.216988778114319,0.1059629358043589,0.08706977230188163,0.75,-0.0682746171951294,True,both,A,4
95,C1#N->[Co+2]<-[S-]1,Co,0.99,1.0266344904899598,0.11236898267938478,0.10945373813201702,0.75,-0.11484718322753906,True,both,C,4
96,C1#N->[Co+3]<-[S-]1,Co,1.077,1.1303454875946044,0.06860834954340765,0.06069679606489822,0.75,-0.08250626921653748,True,both,A,4
97,C1#N->[Cr+3]<-[S-]1,Cr,1.87,1.5926229357719421,0.4799707635922267,0.3013712491585998,0.75,-0.15822868049144745,True,both,C,4
98,C1#N->[Cu+2]<-S1,Cu,1.895,1.7226203203201294,0.12626589664132204,0.07329873864361298,0.5,-0.7770368158817291,True,mean,A,4
99,C1#N->[Cu+2]<-[S-]1,Cu,1.74,1.3404271602630615,0.15278541132949514,0.11398262871628974,0.5,-0.009486615657806396,True,mean,C,4
100,C1#N->[Dy+3]<-S1,Dy,0.25,0.3595048666000366,0.14832637626145648,0.4125851693308938,0.75,-0.2300565242767334,True,both,C,4
101,C1#N->[Er+3]<-S1,Er,0.3,0.3692525863647461,0.03863956371828344,0.10464263527220212,0.75,-0.3272031396627426,True,both,C,4
102,C1#N->[Eu+3]<-S1,Eu,0.38,0.4259572744369507,0.05291664713399542,0.12422994114595884,0.75,-0.2698250412940979,True,both,C,4
103,C1#N->[Eu+3]<-[S-]1,Eu,0.32,0.3416637063026428,0.07845087313722332,0.22961430110967715,0.75,-0.2139054536819458,True,both,C,4
104,C1#N->[Fe+2]<-[S-]1,Fe,1.61,1.1409265160560609,0.3375788916406928,0.2958813621122865,0.75,-0.09058760106563568,True,both,C,4
105,C1#N->[Fe+3]<-S1,Fe,2.19,2.1060433626174926,0.06853631392600458,0.03254268888406188,0.5,-0.5085571110248566,True,mean,A,4
106,C1#N->[Fe+3]<-[S-]1,Fe,2.17,1.6843910932540893,0.31411964859693803,0.1864885476152024,0.5,-0.0768478512763977,True,mean,C,4
107,C1#N->[Hg+2]<-NC1,Hg,5.69,6.682909202575684,2.4007654359905684,0.35923957115342536,0.4,-0.05226125717163086,True,mean,C,5
108,C1#N->[Hg+2]<-S1,Hg,9.36,9.088517951965333,0.5463783884021993,0.06011743512967904,0.75,0.9996116161346436,True,both,A,4
109,C1#N->[Hg+2]<-[S-]1,Hg,9.08,8.024319744110107,1.4181235411419315,0.1767281945840757,0.75,0.9131511449813843,True,both,C,4
110,C1#N->[Ho+3]<-S1,Ho,0.24,0.4527047276496887,0.08041677311184232,0.1776362564829902,0.75,-0.31635716557502747,True,both,C,4
111,C1#N->[La+3]<-S1,La,0.22,0.2797452211380005,0.06094917379743774,0.2178738694784389,0.75,-0.2989863157272339,True,both,C,4
112,C1#N->[La+3]<-[S-]1,La,0.12,0.1929539918899536,0.043962335941671045,0.22783843708578905,0.5,-0.18880128860473633,True,mean,C,4
113,C1#N->[Lu+3]<-S1,Lu,0.325,0.45006316900253296,0.07200002699253547,0.1599776030376088,0.75,-0.2812329828739166,True,both,C,4
114,C1#N->[Lu+3]<-[S-]1,Lu,0.33,0.32333213090896606,0.03657618767075279,0.1131226505943846,0.75,-0.16805458068847656,True,both,C,4
115,C1#N->[Mg+2]<-S1,Mg,-0.9,-0.7921063423156738,0.03805888232943088,0.048047692962750556,0.75,-0.4553729295730591,True,both,A,4
116,C1#N->[Mg+2]<-[S-]1,Mg,-1.0,-0.8713353157043457,0.05624474187406688,0.06455005422177951,0.75,-0.40468862652778625,True,both,A,4
117,C1#N->[Mn+2]<-S1,Mn,0.75,0.6246095895767212,0.29141585466744624,0.466556805291654,0.75,-0.1658978909254074,True,both,C,4
118,C1#N->[Mn+2]<-[S-]1,Mn,0.72,0.5664145469665527,0.27302890396033236,0.4820301763479513,0.75,-0.15227310359477997,True,both,C,4
119,C1#N->[Nd+3]<-S1,Nd,-0.05,0.261273467540741,0.13606558606822905,0.5207784293941443,0.75,-0.3030761331319809,True,both,C,4
120,C1#N->[Nd+3]<-[S-]1,Nd,0.305,0.30469300746917727,0.07960514805214819,0.26126345567743636,0.75,-0.11842118203639984,True,both,C,4
121,C1#N->[Ni+2]<-S1,Ni,1.285,1.2825774908065797,0.10972042664515368,0.08554682070410681,0.5,-0.14166250824928284,True,mean,A,4
122,C1#N->[Ni+2]<-[S-]1,Ni,1.18,1.1754749536514282,0.03596874092340578,0.03059932566974272,0.5,0.08204412460327148,False,none,B,4
123,C1#N->[Ni+2]<-n2cccc1c2,Ni,1.34,1.5161050319671632,0.3228493636915347,0.21294656826818525,0.6666666666666666,-0.1731997463438246,True,mean,C,9
124,C1#N->[Np+4]<-[S-]1,Np,1.5,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.0546642541885376,True,mean,C,4
125,C1#N->[Pb+2]<-S1,Pb,0.66,0.8457939147949218,0.1890543359857273,0.22352293233460654,0.75,-0.1771474927663803,True,both,C,4
126,C1#N->[Pb+2]<-[S-]1,Pb,0.5,0.7358098745346069,0.21215621888539962,0.28833021440434803,0.5,-0.13729076087474823,True,mean,C,4
127,C1#N->[Pm+3]<-S1,Pm,0.18,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576274156570435,True,mean,C,4
128,C1#N->[Pr+3]<-S1,Pr,0.11,0.31416313648223876,0.10981745255850711,0.3495555009672997,0.75,-0.27004194259643555,True,both,C,4
129,C1#N->[Pr+3]<-[S-]1,Pr,0.27,0.3375726222991943,0.04377718125514483,0.12968226201811067,0.5,-0.10916391015052795,True,mean,C,4
130,C1#N->[Pu+3]<-S1,Pu,0.39,0.3759545683860779,0.06808909718049325,0.18110990770185487,0.5,-0.14576272666454315,True,mean,C,4
131,C1#N->[Pu+3]<-[S-]1,Pu,0.335,0.3726313471794128,0.07595498078906994,0.20383411477322516,0.5,-0.05466422438621521,True,mean,C,4
132,C1#N->[Ru+3]<-[S-]1,Ru,1.78,1.6164512157440185,0.169894258221688,0.10510323885245695,0.5,-0.032072991132736206,True,mean,C,4
133,C1#N->[Sc+3]<-[S-]1,Sc,1.035,1.2343123435974122,0.19195531741953897,0.15551599918387257,0.5,0.03373056650161743,False,none,D,4
134,C1#N->[Sm+3]<-S1,Sm,0.09,0.202689266204834,0.0715533927012415,0.35302013787415354,0.75,-0.334806889295578,True,both,C,4
135,C1#N->[Sm+3]<-[S-]1,Sm,0.13,0.17280536890029907,0.010820950697074614,0.06261929687681067,0.75,-0.16668494045734406,True,both,A,4
136,C1#N->[Sn+2]<-S1,Sn,0.865,0.933608889579773,0.07859188996607495,0.0841807429677003,0.75,-0.43385428190231323,True,both,A,4
137,C1#N->[Sn+2]<-[S-]1,Sn,1.03,0.9897201418876648,0.23559326574276657,0.23804028610898664,0.5,-0.008742928504943848,True,mean,C,4
138,C1#N->[Tb+3]<-S1,Tb,0.18,0.34022059440612795,0.12462174525154213,0.366296888843768,0.75,-0.29654745757579803,True,both,C,4
139,C1#N->[Tb+3]<-[S-]1,Tb,0.23,0.3030130982398987,0.05719128263342892,0.1887419486670176,0.5,-0.13906905055046082,True,mean,C,4
140,C1#N->[Th+4]<-S1,Th,1.08,1.1327253818511962,0.04975621493634013,0.04392610577422066,0.5,-0.13798034191131592,True,mean,A,4
141,C1#N->[Th+4]<-[S-]1,Th,1.08,1.1424164772033691,0.044483200398309934,0.038937814086159386,0.5,0.0163135826587677,False,none,B,4
142,C1#N->[Ti+3]<-[S-]1,Ti,1.38,1.4653280973434448,0.14450927157466953,0.0986190545562161,0.5,0.2534661591053009,False,none,B,4
143,C1#N->[Ti+4]<-[S-]1,Ti,0.45,1.4653280973434448,0.14450927157466953,0.0986190545562161,0.5,0.2534661591053009,False,none,B,4
144,C1#N->[Tm+3]<-S1,Tm,0.26,0.3555357575416565,0.06646484587162577,0.1869427883462281,0.75,-0.28046365082263947,True,both,C,4
145,C1#N->[U+4]<-S1,U,2.23,2.0118550062179565,0.21744099096730943,0.10807985182593856,0.5,-0.49602164328098297,True,mean,C,4
146,C1#N->[U+4]<-[S-]1,U,1.49,1.5691316604614258,0.05340189066786877,0.03403276602816437,0.5,-0.03367583453655243,True,mean,A,4
147,C1#N->[V+2]<-[S-]1,V,1.18,1.3030308485031128,0.19664875099427767,0.15091642014475906,0.5,-0.03021925687789917,True,mean,C,4
148,C1#N->[V+3]<-[S-]1,V,2.0,1.7475473880767822,0.2783281984713136,0.1592678976091289,0.25,0.05685943365097046,False,none,D,4
149,C1#N->[Y+3]<-[S-]1,Y,-0.07,0.02079119682312012,0.04265340253702602,2.051512613722881,0.75,-0.22726285457611084,True,both,C,4
150,C1#N->[Yb+3]<-S1,Yb,0.18,0.30005998611450196,0.11240451643554446,0.3746068174270035,0.75,-0.3537202328443527,True,both,C,4
151,C1#N->[Zn+2]<-S1,Zn,1.005,1.0660106420516968,0.13505903480003142,0.12669576594478468,0.75,-0.11448812484741211,True,both,C,4
152,C1#N->[Zn+2]<-[S-]1,Zn,0.71,0.8666726589202881,0.18941047944488373,0.2185490421272245,0.75,-0.07236357033252716,True,both,C,4
153,C1=C/c2ccccn2->[Cu+2]<-n2cccc/1c2,Cu,1.0,1.7970541715621948,0.24725614692698406,0.13758970143456617,0.6,-0.14810891151428224,True,mean,C,15
154,C1=CCCCCNN2(->[Cd+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,Cd,5.04,5.7670868873596195,1.1646443569947411,0.2019467332020651,0.5625,0.1914074569940567,False,none,D,32
155,C1=CCCCCNN2(->[Cu+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,Cu,17.95,16.72377166748047,2.4950701959521373,0.1491930316654481,0.625,0.3546842336654663,True,mean,C,32
156,C1=CCCCCNN2(->[Zn+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,Zn,12.589,11.38492431640625,2.709725566116747,0.23800997624656106,0.53125,0.5921686887741089,True,mean,C,32
157,C1=CN2->[Fe+3]<-O=C1C=C2,Fe,2.1,2.2272451877593995,0.17917630129151343,0.08044749732819678,1.0,-0.9368589818477631,True,both,A,8
158,C1=CS(=N2->[Cu+2]<-N(=S3C=CC=C3)CC2)C=C1,Cu,8.2,8.21064109802246,0.14546088991265774,0.017716142768399914,0.7333333333333333,-0.03558635711669922,True,ratio,A,15
