smiles,true_dent,pred_dent,dent_correct,molecular_acc,balanced_acc,donor_recall,neg_acc,overall_acc,tp,fp,tn,fn
c1ccc2cnncc2c1,1,2,0.0,0.0,0.9444444444444444,1.0,0.8888888888888888,0.9,1,1,8,0
CC1=C(C)[N+](=c2n(C(C)C)c(C)c(C)n2C(C)C)B(N[C]=O)N1c1c(C(C)C)cccc1C(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,34,0
Cc1ccnc(-c2[c]cc(F)cc2F)c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,13,0
CO[C]Nc1ccc(C#N)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,11,0
C(=N/[C@H]1C[C@@H](/N=C/c2cc3ccccc3[nH]2)C[C@@H](/N=C/c2cc3ccccc3[nH]2)C1)\c1cc2ccccc2[nH]1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,36,0
C(=N/[C@H]1C[C@@H](/N=C/c2cc3ccccc3[nH]2)C[C@@H](/N=C/c2cc3ccccc3[nH]2)C1)\c1cc2ccccc2[n-]1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,35,0
[S-]/C(=N\N=C(\C=C\c1ccccc1)c1ccccc1)Nc1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,24,0
O=C([O-])[C@@H](O)[C@H](O)C(=O)O,2,4,0.0,0.0,0.875,1.0,0.75,0.8,2,2,6,0
O=C([O-])CNS(=O)(=O)c1ccc(Cl)cc1,1,2,0.0,0.0,0.9642857142857143,1.0,0.9285714285714286,0.9333333333333333,1,1,13,0
Fc1ccc(-c2ccccn2)c(F)c1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,13,0
CC(C)(C)[O-],1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,4,0
CN1CCN(C)CCN(CCCN2C(=O)C=CC2=O)CCN(C)CC1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,21,0
CC(C)(C)c1cc(/C=N/NC(=O)c2ccccc2O)c([O-])c(C(C)(C)C)c1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,24,0
c1ccc2c(c1)[n-]c1ccccc12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,12,0
CN(C)C/C(=C/P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,2,3,0.0,0.0,0.9833333333333334,1.0,0.9666666666666667,0.96875,2,1,29,0
O=C(Nc1cccc(I)c1)c1cccnc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,15,0
O=C(Nc1cccc(Cl)c1)c1cccnc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,15,0
O=C1Nc2cc1c(-c1c(F)c(F)c(F)c(F)c1F)c1ccc([n-]1)c(-c1c(F)c(F)c(F)c(F)c1F)c1nc(c(-c3c(F)c(F)c(F)c(F)c3F)c3[c]cc(s3)c3ccc(s3)c(-c3c(F)c(F)c(F)c(F)c3F)c3nc(c2-c2c(F)c(F)c(F)c(F)c2F)C=C3)C=C1,4,3,0.0,0.0,0.875,0.75,1.0,0.989010989010989,3,0,87,1
O=C1[N-]c2cc1c(-c1c(F)c(F)c(F)c(F)c1F)c1ccc([nH]1)c(-c1c(F)c(F)c(F)c(F)c1F)c1nc(c(-c3c(F)c(F)c(F)c(F)c3F)c3ccc(s3)c3ccc(s3)c(-c3c(F)c(F)c(F)c(F)c3F)c3nc(c2-c2c(F)c(F)c(F)c(F)c2F)C=C3)C=C1,2,4,0.0,0.0,0.9887640449438202,1.0,0.9775280898876404,0.978021978021978,2,2,87,0
O=C1Nc2cc1c(-c1c(F)c(F)c(F)c(F)c1F)c1ccc([n-]1)c1ccc([n-]1)c(-c1c(F)c(F)c(F)c(F)c1F)c1ccc(s1)c1ccc(s1)c(-c1c(F)c(F)c(F)c(F)c1F)c1nc(c2-c2c(F)c(F)c(F)c(F)c2F)C=C1,4,4,1.0,0.0,0.8683333333333334,0.75,0.9866666666666667,0.9746835443037974,3,1,74,1
CC(C)CCn1c(-c2[c]cc(F)cc2)nc2ccccc21,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,19,0
c1ccc2c(c1)Sc1ccccc1N2c1ccnc2c1ccc1c(N3c4ccccc4Sc4ccccc43)ccnc12,2,4,0.0,0.0,0.975,1.0,0.95,0.9523809523809523,2,2,38,0
c1ccc(P(=Nc2ccccc2-c2nc3ccccc3s2)([N-]c2ccccc2-c2nc3ccccc3s2)c2ccccc2)cc1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,41,0
CC(C)c1cccc(C(C)C)c1N1[C][C@@]2(C)CC[C@]1(C)C[C@H]2C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,22,0
CC(C)c1cccc(C(C)C)c1N1[C][C@]2(C(C)C)CC[C@@]1(C)C[C@@H]2C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,24,0
Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,23,0
N[C](~[S-2])~[S-2],2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,2,0
Fc1c[c]c(-c2ccccn2)c(F)c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,12,0
[S-]c1cnccn1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,5,0
CC(c1ccccn1)(c1ccccn1)c1ccc2ccc(CP(c3ccccc3)c3ccccc3)nc2n1,2,5,0.0,0.0,0.9583333333333333,1.0,0.9166666666666666,0.9210526315789473,2,3,33,0
S=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2n1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,22,0
Cc1cc([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c([O-])c2c1CC[C@H]2N(C)CCN(C)[C@@H]1CCc2c(C)cc([C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c([O-])c21,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,44,0
CN/C([S-])=N/N=C\c1ccc(C)s1,2,3,0.0,0.0,0.9545454545454546,1.0,0.9090909090909091,0.9230769230769231,2,1,10,0
[NH3+]Cc1ccncc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,7,0
C[C@@H](/N=C/c1ccccc1OCC(=O)[O-])C(=O)[O-],4,6,0.0,0.0,0.9285714285714286,1.0,0.8571428571428571,0.8888888888888888,4,2,12,0
Cc1cc(C)c(/C2=C3\C=CC(=N3)c3cc([N+](=O)[O-])c([n-]3)/C(c3c(C)cc(C)cc3C)=C3\N=C(C=C3NCc3ccccc3)c3cc([N+](=O)[O-])c2[n-]3)c(C)c1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,50,0
COc1ccc([C](~[CH]~[CH]~[N-2]c2ccc(I)cc2)~[N-2]c2ccc(I)cc2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,25,0
Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,21,0
c1ccc(CN(Cc2ccccn2)Cc2ccc3ccccc3n2)nc1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,22,0
Cc1ccc(-n2cc(-c3ccccn3)nn2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,16,0
CCC(C)(C)C1=CC(=O)C(C(C)(C)CC)=CC1=O,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,14,0
O=C1NCCN1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,5,0
[c]1cc(-c2ccccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc2)ccc1-c1nc2ccccc2n1-c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,44,0
[c]1cc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)ccc1-c1nc2ccccc2n1-c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,44,0
[c]1cc(-c2ccccc2)ccc1-c1nc2ccccc2n1-c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,25,0
n1n[n-]c(Nc2nc(Nc3nnn[n-]3)nc(Nc3nnn[nH]3)n2)n1,3,6,0.0,0.0,0.9285714285714286,1.0,0.8571428571428571,0.875,3,3,18,0
O=S1(=O)N=C(NCC/N=C/c2cc(Br)cc(Br)c2[O-])c2ccccc21,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,23,0
C1=CN2C(=[N+]1)n1c(-c3ccccn3)cnc1-n1ccnc12,2,2,1.0,0.0,0.7236842105263157,0.5,0.9473684210526315,0.9047619047619048,1,1,18,1
C/C(=N\Cc1ncc[nH]1)C(=O)[O-],3,4,0.0,0.0,0.9444444444444444,1.0,0.8888888888888888,0.9166666666666666,3,1,8,0
C[C](~[O-2])~[C](Br)~[C](C)~[O-2],2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,6,0
C1CCC(P(CCCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,27,0
C1CCC(P(CCCCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,28,0
Cc1ccc(COc2ccc(/C([O-])=N/N=C\C(C)C)cc2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,21,0
CC/C=N\N=C(/[O-])c1ccc(OCc2ccc(C)cc2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,20,0
C=N/N=C(\[O-])c1ccc(OCc2ccc(C)cc2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,18,0
[S-]/C(=N\N=C/C=C/c1ccccc1)Nc1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,18,0
COc1ccc(/C=N/[C@@H](C)c2ccc(Br)cc2)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,18,0
[c]1c(-c2ccccn2)sc2ccccc12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,13,0
[CH2]c1c(-c2ccccc2)c(C)c(-c2ccccc2)[n+](-c2c(C)cc(C)cc2C)c1-c1ccccc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,34,0
CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(-n2c(-c3ccccc3)[n+](-c3c(C(c4ccccc4)c4ccccc4)cc(C(C)(C)C)cc3C(c3ccccc3)c3ccccc3)[p-]c2=O)c(C(c2ccccc2)c2ccccc2)c1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,83,0
COC(=O)c1ccc2cnn(Cn3ncc4ccc(C(=O)OC)cc43)c2c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,25,0
[C]#[N+]C(C)(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,5,0
COc1c2nc3cc-2c2cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc(n2)c2ccc([nH]2)c2cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc(n2)c2cc([n-]c12)c(-c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1nc(c(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2ccc([n-]2)c3-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C=C1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,109,0
COc1c2nc3cc-2c2cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc(n2)c2ccc([nH]2)c2cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc(n2)c2cc([n-]c12)c(-c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1cc2c4cc(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc(n4)c4ccc([nH]4)c4cc(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc(n4)c4cc([n-]c4c(OC)c-2n1)c3-c1cc(C(C)(C)C)cc(C(C)(C)C)c1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,142,0
CC(C)(C)c1cc(-c2cc3nc(c2)c2ccc([nH]2)c2cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc(n2)c2cc4[n-]c2c(O)c2nc(cc3-2)c(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2ccc([n-]2)c(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2nc(c4-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)C=C2)cc(C(C)(C)C)c1,4,5,0.0,0.0,0.9953703703703703,1.0,0.9907407407407407,0.9910714285714286,4,1,107,0
CN1C(=N)/C(=N\[N-]c2cccc3cccnc23)C(=O)N(C)C1=O,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,20,0
[O-]c1ccccc1/C=N/c1ccccc1[O-],3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,13,0
Cc1ncc(CO)c(/C=N/c2ccccc2[O-])c1[O-],3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,16,0
[O-]c1ccc(F)cc1/C=N/[C@H]1CCCC[C@@H]1/N=C/c1cc(F)ccc1[O-],4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,22,0
COc1ccc([S+](=O)=O)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,10,0
[c]1cccc2ccc3cccnc3c12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,12,0
O=[N+]([O-])c1ccc(-c2[c]cccc2)nc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,13,0
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](/N=C/c5cc(Br)ccc5[O-])CC[C@]4(C)[C@H]3CC[C@]12C,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,35,0
Cc1ccc2cccc([N-][C@@H](C)c3cc(C(C)(C)C)cc(C(C)(C)C)c3[O-])c2n1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,26,0
CC(=O)c1ccc(-c2cc3cccnc3c3ncccc23)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,21,0
[c]1cccc2ccc3cc4ccc5ccccc5c4nc3c12,1,2,0.0,0.0,0.9761904761904762,1.0,0.9523809523809523,0.9545454545454546,1,1,20,0
CCN(C)/C([S-])=N/N=C(c1ccccn1)c1ccccn1,3,4,0.0,0.0,0.9722222222222222,1.0,0.9444444444444444,0.9523809523809523,3,1,17,0
CCN(C)C(=S)NN=C(c1ccccn1)c1ccccn1,2,4,0.0,0.0,0.9473684210526316,1.0,0.8947368421052632,0.9047619047619048,2,2,17,0
CCN(C)/C([S-])=N/N=C(/c1ccccn1)c1cccc[nH+]1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,18,0
CC(C)[N+](=C/[C]=C1/C2=[C]c3ccccc3C(c3ccccc3)=C[C@H]2c2ccccc21)C(C)C,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,31,0
CC(C)[N+](=C/[C]=C1/C2=[C]c3ccccc3C(c3ccccc3)=C[C@@]2(O)c2ccccc21)C(C)C,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,32,0
COc1ccc(C2=C[C@@]3(O)C(=[C]c4ccccc42)/C(=[C]/C=[N+](C(C)C)C(C)C)c2ccccc23)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,34,0
Cc1cc(C)n(-c2[c]c(-n3nc(C)cc3C)ccc2)n1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,17,0
Cc1cccnc1C(=O)[O-],2,3,0.0,0.0,0.9375,1.0,0.875,0.9,2,1,7,0
O=C(O)[CH][C@H](O)C(=O)[O-],2,3,0.0,0.0,0.9285714285714286,1.0,0.8571428571428571,0.8888888888888888,2,1,6,0
C(=N/c1ccccc1-c1nc2ccccc2[nH]1)\c1ccccn1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,20,0
CCN([C]Nc1ccc(OC)cc1)CC,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,14,0
c1ccc2c(c1)[n-]c1c2ccc2ccoc21,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,15,0
c1ccc2c(c1)[n-]c1c2ccc2c3ccccc3oc21,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,19,0
CC(C)N(B(Cl)P(C(C)(C)C)C(C)(C)C)C(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,17,0
Cc1cc(C)cc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3cc(C)cc(C)c3)C2=O)c1,4,5,0.0,0.0,0.9833333333333334,1.0,0.9666666666666667,0.9705882352941176,4,1,29,0
O=C(Nc1ccccc1)c1cccc(-c2cccc(C(=O)Nc3ccccc3)n2)n1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,26,0
Cc1cc(C)n(Cn2nc(C)cc2C)n1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,13,0
C[N-2],1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0
CC(C)(C)C#Cc1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,10,0
CCC(CC)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,27,0
CC(C)(C)c1cc(-c2[c]oc3c(C(C)(C)C)cc(C(C)(C)C)cc23)c([O-])c(C(C)(C)C)c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0
Cc1[nH][nH+]c(C)c1C(=O)NN,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,9,0
c1ccc2c(c1)ccc1[n-]c3ccc4ccccc4c3c12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,20,0
COc1ccc2[n-]c3ccc(OC)cc3c2c1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,16,0
O=C([O-])[C@H](Cc1c[nH]c2ccccc12)/N=C/c1cc(Cl)ccc1[O-],3,4,0.0,0.0,0.9761904761904762,1.0,0.9523809523809523,0.9583333333333334,3,1,20,0
O=C([O-])[C@H](Cc1c[nH]c2ccccc12)/N=C/c1cc(Cl)cc(Cl)c1[O-],3,4,0.0,0.0,0.9772727272727273,1.0,0.9545454545454546,0.96,3,1,21,0
[CH]c1ccccc1/N=C/c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,13,0
COc1ccc([O-])c(/C=N/c2cccc3cccnc23)c1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,18,0
CCOC(=O)c1nc(-c2ccccn2)n(C)n1,2,3,0.0,0.0,0.9666666666666667,1.0,0.9333333333333333,0.9411764705882353,2,1,14,0
CN(C)/C([S-])=N\[Si](C)(C)C,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,8,0
CCN(CC)P(Oc1ccccc1)Oc1ccccc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,19,0
Cc1cc(C)c([O-])c(C[NH+](CC[N+](C)(C)C)Cc2cc(C)cc(C)c2[O-])c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,25,0
Cc1cc(C)c([O-])c(C[NH+](CCN(C)C)Cc2cc(C)cc(C)c2[O-])c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,24,0
